Nombre,Lat,Lon
Acapulco,16.84942,-99.90891
Aguascalientes,21.88234,-102.28259
Campeche,19.84386,-90.52554
Cancun,21.17429,-86.84656
Chihuahua,28.63299,-106.06909
Ciudad de Mexico,19.45105,-99.12551
Coatzacoalcos,18.14905,-94.44471
Colima,19.24997,-103.72714
Cuernavaca,18.91861,-99.23416
Culiacan,24.79032,-107.38782
Del Carmen,18.64592,-91.82991
Durango,24.02032,-104.65756
Guadalajara,20.65969,-103.39182
Hermosillo,29.07296,-110.95591
Juarez,31.73858,-106.48701
La Paz,24.14437,-110.30055
Leon,21.11666,-101.68333
Merida,20.97537,-89.61696
Mexicali,32.66333,-115.46778
Monterrey,25.68661,-100.31611
Morelia,19.70078,-101.18443
Oaxaca,17.06542,-96.72365
Pachuca,20.11697,-98.73329
Puebla,19.03333,-98.18333
Queretaro,20.58806,-100.38806
Reynosa,26.08061,-98.28835
Saltillo,25.42321,-101.00535
San Luis Potosi,32.50957,-115.12771
Tampico,22.23311,-97.86109
Tapachula,14.90385,-92.25749
Tepic,21.50951,-104.89569
Tijuana,32.52249,-117.04662
Tlaxcala,19.31905,-98.19982
Toluca,19.28786,-99.65324
Torreon,25.54389,-103.41898
Tluxtla,16.75973,-93.11308
Veracruz,19.18095,-96.14291
Villa Hermosa,17.97612,-92.92511
Zacatecas,22.77491,-102.58689
