NOM_ENT ,DISTRITO,VPH_PISODT,VPH_2YMASD,VPH_C_ELEC,VPH_AGUADV,VPH_AEASP,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_C_SERV,VPH_DSADMA,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_NDEAED,VPH_SNBIEN,VPH_TELEF,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN
Aguascalientes,1,120028,90064,120635,120263,102010,97040,30588,119406,118674,119202,112279,103478,64435,115363,42092,32683,110208,59381,776,1146,1580,135,499,32683,14900,2752,8043,54801
Aguascalientes,2,131805,105591,132398,132168,130564,99298,46196,132262,131879,132271,125908,114589,82318,127723,61143,51688,126004,84830,244,474,218,22,207,51688,25751,1651,3813,40681
Aguascalientes,3,130801,103486,131328,130999,122618,99565,75737,130929,130429,130648,127002,117643,91818,127325,73914,63447,123683,91792,190,517,581,27,170,63447,29475,1618,3467,33514
Baja California,1,147416,106182,148451,148054,135151,3089,1002,139684,140372,139140,144885,131526,102265,142140,72486,70615,141300,97720,1005,1398,8129,243,581,70615,29949,4220,5526,44317
Baja California,2,126075,94569,127397,127510,126992,829,609,127082,126723,126848,125080,115076,95312,123109,72952,82630,119147,97297,545,421,614,110,412,82630,26747,2815,4302,26120
Baja California,3,136006,91618,135547,130372,115232,56517,15979,114788,114968,113384,122639,105700,72481,122460,64075,58790,131080,85649,3731,8905,20443,1738,1303,58790,21101,10778,5483,47404
Baja California,4,158910,114052,162911,160584,157117,8036,3477,160786,159013,160325,155360,131627,93718,152839,72643,72123,156759,112117,658,2985,1840,116,623,72123,26991,5775,5010,44425
Baja California,5,128814,97311,130864,130591,129994,7977,17959,130329,130158,130236,127061,109959,93880,125431,82257,80802,124686,106331,256,528,547,80,324,80802,31327,3172,3240,20869
Baja California,6,131203,94720,132788,131930,130602,11036,15354,131220,130752,130784,128300,109833,92837,127420,77386,78328,125832,102896,384,1240,1467,126,473,78328,30858,3381,4316,25319
Baja California,7,147953,101858,148995,144724,132339,25109,10371,144087,140362,143295,143191,122928,91041,140377,66215,63994,142511,96238,1959,6223,5201,555,899,63994,24639,6156,6017,47077
Baja California,8,142307,98531,145669,143954,142111,9608,6425,143980,142828,143634,139710,119998,88779,137603,68440,69524,138854,101941,409,2123,1504,94,589,69524,25253,4926,4878,37998
Baja California Sur,1,120800,86516,122240,121163,115034,106433,30379,118525,117736,118042,115785,92518,64755,113835,62613,53737,116879,79367,1236,2312,3943,246,775,53737,20994,5872,4594,37069
Baja California Sur,2,105984,67752,113045,104961,95708,89276,34258,112230,103181,111340,104020,71516,50911,100477,46335,38013,109638,69356,1590,9661,2227,204,718,38013,15203,8636,4081,40154
Campeche,1,127354,75549,128776,126784,119357,102523,18306,121889,120103,120915,109766,101182,44368,114980,48246,33550,109975,61769,1090,3082,7159,220,2357,33550,9325,10756,18040,60348
Campeche,2,124457,67183,126677,121841,103677,85878,34633,123311,116400,122135,108864,100024,41854,111183,39523,35293,108347,52251,2426,7261,6120,669,3202,35293,8651,12871,18357,70013
Coahuila de Zaragoza,1,128860,91556,129311,129162,126419,31480,3497,127722,127417,127380,126230,114155,84670,123979,48142,52854,120739,71663,564,711,1755,95,282,52854,15429,2651,5569,50998
Coahuila de Zaragoza,2,123546,91517,124003,121630,114186,81827,17577,118724,117729,117608,119151,103761,69888,117668,36987,32927,111338,51090,755,3127,4519,193,595,32927,11331,3546,9974,65724
Coahuila de Zaragoza,3,125807,92074,126056,125602,123825,90995,17159,124559,124503,124288,123856,111961,82376,121713,49908,63837,115635,74836,334,787,1236,90,277,63837,15907,2139,5810,45170
Coahuila de Zaragoza,4,138363,111329,139134,138262,133075,119248,25660,138465,137863,138474,136188,126924,99197,135020,72722,75798,129974,97553,192,1061,474,25,183,75798,26208,2054,4687,35750
Coahuila de Zaragoza,5,107713,82521,108666,108571,106968,72018,24972,108528,108387,108504,106252,95443,76129,106014,52619,52673,98898,70895,98,190,130,13,238,52673,17137,1486,5384,33380
Coahuila de Zaragoza,6,140582,110057,142013,141068,136916,96823,26001,139982,139769,139909,136619,115698,82007,137497,55218,37698,132544,77345,201,1146,1483,50,377,37698,20877,2390,7659,56842
Coahuila de Zaragoza,7,126081,98378,126738,125218,117726,106006,7644,124567,123991,124551,122653,112072,80457,121624,52374,56345,115163,76217,252,1767,1638,72,356,56345,17188,2754,7337,44434
Colima,1,118652,84007,120088,119982,117555,100465,37841,120016,119379,119992,114511,94346,62548,112275,56844,46038,111637,81907,564,671,484,87,592,46038,14923,3908,5022,33510
Colima,2,101326,68579,104546,104140,101265,68174,19053,104469,103497,104389,97085,76034,35987,94569,33356,34213,95099,50488,557,963,555,87,901,34213,7772,5265,7063,48856
Chiapas,1,79879,47768,90735,85820,54052,31462,12896,81017,79003,82079,48430,23203,6731,60879,7133,4027,46404,9085,2567,7479,9352,958,16044,4027,541,23175,46020,80886
Chiapas,10,95685,57082,102272,96805,70634,45340,57807,98750,93074,98982,78819,56761,17182,89390,12464,12633,77449,19150,2143,7610,4254,445,3397,12633,1391,8777,24366,80794
Chiapas,11,66342,51296,77354,61662,37652,47821,10982,45709,47257,44244,25610,17464,5055,46882,3626,2329,40956,4149,2771,18463,26284,1494,17776,2329,311,24455,38625,74025
Chiapas,12,108117,69852,116067,108183,87783,48562,32157,114262,106549,114363,96827,63110,30512,102570,27037,24053,102201,37753,982,8866,2072,220,2220,24053,4174,9273,13818,73071
Chiapas,13,85820,57258,97314,87169,44766,22689,27542,91172,83807,91285,66065,38557,15806,77036,7671,5456,69206,13046,1459,11604,4479,304,5205,5456,671,12140,28286,82075
Chiapas,2,73740,46812,90737,83823,55841,34990,13608,70742,72772,71468,28837,11320,3962,53245,3456,2511,43835,4888,2142,9056,15948,752,23963,2511,320,32593,48510,86253
Chiapas,3,63732,46439,79701,73616,51257,24710,9134,62128,60957,62592,30575,12479,4813,42899,4682,1905,35643,4613,5160,11247,17289,1912,25007,1905,328,34094,48980,77693
Chiapas,4,93061,54474,101831,95417,72209,42214,34947,98027,92269,98656,72046,50917,16295,81562,13693,6645,74252,20495,1774,8188,3579,354,7613,6645,1842,16260,28618,78495
Chiapas,5,87236,62290,100410,89662,65957,70871,16026,72922,77525,72660,38086,27649,16731,74180,16849,14340,67473,18963,1054,11801,17678,360,13803,14340,2722,19416,32464,78192
Chiapas,6,116097,73286,121898,113266,88667,88996,58146,118784,111326,119558,103160,76223,35679,109941,34873,22252,105146,46075,1118,9749,2391,248,2760,22252,6500,8309,16773,70790
